,Open,High,Low,Close,Volume
2024-01-08 22:00:00,1.12789,1.12845,1.12745,1.12823,3678.92
2024-01-08 23:00:00,1.12823,1.12878,1.12778,1.12856,3234.56
2024-01-09 00:00:00,1.12856,1.12901,1.12812,1.12878,2876.78
2024-01-09 01:00:00,1.12878,1.12923,1.12834,1.12901,2654.32
2024-01-09 02:00:00,1.12901,1.12945,1.12856,1.12923,2432.56
2024-01-09 03:00:00,1.12923,1.12967,1.12878,1.12945,2234.78
2024-01-09 04:00:00,1.12945,1.12989,1.12901,1.12967,2087.65
2024-01-09 05:00:00,1.12967,1.13012,1.12923,1.12989,1954.32
2024-01-09 06:00:00,1.12989,1.13045,1.12945,1.13023,2234.56
2024-01-09 07:00:00,1.13023,1.13089,1.12978,1.13067,2678.92
2024-01-09 08:00:00,1.13067,1.13156,1.13023,1.13134,3456.78
2024-01-09 09:00:00,1.13134,1.13223,1.13089,1.13201,4567.89
2024-01-09 10:00:00,1.13201,1.13289,1.13156,1.13267,5234.56
2024-01-09 11:00:00,1.13267,1.13345,1.13223,1.13323,5678.92
2024-01-09 12:00:00,1.13323,1.13401,1.13278,1.13378,6123.45
2024-01-09 13:00:00,1.13378,1.13445,1.13334,1.13423,6543.21
2024-01-09 14:00:00,1.13423,1.13489,1.13378,1.13456,6987.65
2024-01-09 15:00:00,1.13456,1.13512,1.13412,1.13489,7234.56
2024-01-09 16:00:00,1.13489,1.13534,1.13445,1.13512,6876.54
2024-01-09 17:00:00,1.13512,1.13556,1.13467,1.13534,6432.18
2024-01-09 18:00:00,1.13534,1.13578,1.13489,1.13556,5678.92
2024-01-09 19:00:00,1.13556,1.13601,1.13512,1.13578,5123.45
2024-01-09 20:00:00,1.13578,1.13623,1.13534,1.13601,4567.89
2024-01-09 21:00:00,1.13601,1.13645,1.13556,1.13623,4123.45
2024-01-09 22:00:00,1.13623,1.13667,1.13578,1.13645,3678.92
2024-01-09 23:00:00,1.13645,1.13689,1.13601,1.13667,3234.56
2024-01-10 00:00:00,1.13667,1.13701,1.13623,1.13678,2876.78
2024-01-10 01:00:00,1.13678,1.13712,1.13634,1.13689,2654.32
2024-01-10 02:00:00,1.13689,1.13723,1.13645,1.13701,2432.56
2024-01-10 03:00:00,1.13701,1.13734,1.13656,1.13712,2234.78
2024-01-10 04:00:00,1.13712,1.13745,1.13667,1.13723,2087.65
2024-01-10 05:00:00,1.13723,1.13756,1.13678,1.13734,1954.32
2024-01-10 06:00:00,1.13734,1.13778,1.13689,1.13756,2234.56
2024-01-10 07:00:00,1.13756,1.13812,1.13712,1.13789,2678.92
2024-01-10 08:00:00,1.13789,1.13867,1.13745,1.13845,3456.78
2024-01-10 09:00:00,1.13845,1.13923,1.13801,1.13901,4567.89
2024-01-10 10:00:00,1.13901,1.13978,1.13856,1.13956,5234.56
2024-01-10 11:00:00,1.13956,1.14023,1.13912,1.14001,5678.92
2024-01-10 12:00:00,1.14001,1.14067,1.13956,1.14045,6123.45
2024-01-10 13:00:00,1.14045,1.14101,1.14001,1.14078,6543.21
2024-01-10 14:00:00,1.14078,1.14123,1.14034,1.14101,6987.65
2024-01-10 15:00:00,1.14101,1.14145,1.14056,1.14123,7234.56
2024-01-10 16:00:00,1.14123,1.14156,1.14078,1.14134,6876.54
2024-01-10 17:00:00,1.14134,1.14167,1.14089,1.14145,6432.18
2024-01-10 18:00:00,1.14145,1.14178,1.14101,1.14156,5678.92
2024-01-10 19:00:00,1.14156,1.14189,1.14112,1.14167,5123.45
2024-01-10 20:00:00,1.14167,1.14201,1.14123,1.14178,4567.89
2024-01-10 21:00:00,1.14178,1.14212,1.14134,1.14189,4123.45
2024-01-10 22:00:00,1.14189,1.14223,1.14145,1.14201,3678.92
2024-01-10 23:00:00,1.14201,1.14234,1.14156,1.14212,3234.56
2024-01-11 00:00:00,1.14212,1.14245,1.14167,1.14223,2876.78
2024-01-11 01:00:00,1.14223,1.14256,1.14178,1.14234,2654.32
2024-01-11 02:00:00,1.14234,1.14267,1.14189,1.14245,2432.56
2024-01-11 03:00:00,1.14245,1.14278,1.14201,1.14256,2234.78
2024-01-11 04:00:00,1.14256,1.14289,1.14212,1.14267,2087.65
2024-01-11 05:00:00,1.14267,1.14301,1.14223,1.14278,1954.32
2024-01-11 06:00:00,1.14278,1.14323,1.14234,1.14301,2234.56
2024-01-11 07:00:00,1.14301,1.14356,1.14256,1.14334,2678.92
2024-01-11 08:00:00,1.14334,1.14401,1.14289,1.14378,3456.78
2024-01-11 09:00:00,1.14378,1.14456,1.14334,1.14434,4567.89
2024-01-11 10:00:00,1.14434,1.14512,1.14389,1.14489,5234.56
2024-01-11 11:00:00,1.14489,1.14556,1.14445,1.14534,5678.92
2024-01-11 12:00:00,1.14534,1.14589,1.14489,1.14567,6123.45
2024-01-11 13:00:00,1.14567,1.14612,1.14523,1.14589,6543.21
2024-01-11 14:00:00,1.14589,1.14634,1.14545,1.14612,6987.65
2024-01-11 15:00:00,1.14612,1.14656,1.14567,1.14634,7234.56
2024-01-11 16:00:00,1.14634,1.14667,1.14589,1.14645,6876.54
2024-01-11 17:00:00,1.14645,1.14678,1.14601,1.14656,6432.18
2024-01-11 18:00:00,1.14656,1.14689,1.14612,1.14667,5678.92
2024-01-11 19:00:00,1.14667,1.14701,1.14623,1.14678,5123.45
2024-01-11 20:00:00,1.14678,1.14712,1.14634,1.14689,4567.89
2024-01-11 21:00:00,1.14689,1.14723,1.14645,1.14701,4123.45
2024-01-11 22:00:00,1.14701,1.14734,1.14656,1.14712,3678.92
2024-01-11 23:00:00,1.14712,1.14745,1.14667,1.14723,3234.56
2024-01-12 00:00:00,1.14723,1.14756,1.14678,1.14734,2876.78
2024-01-12 01:00:00,1.14734,1.14767,1.14689,1.14745,2654.32
2024-01-12 02:00:00,1.14745,1.14778,1.14701,1.14756,2432.56
2024-01-12 03:00:00,1.14756,1.14789,1.14712,1.14767,2234.78
2024-01-12 04:00:00,1.14767,1.14801,1.14723,1.14778,2087.65
2024-01-12 05:00:00,1.14778,1.14789,1.14712,1.14745,1954.32
2024-01-12 06:00:00,1.14745,1.14767,1.14678,1.14701,2234.56
2024-01-12 07:00:00,1.14701,1.14723,1.14634,1.14656,2678.92
2024-01-12 08:00:00,1.14656,1.14689,1.14589,1.14623,3456.78
2024-01-12 09:00:00,1.14623,1.14656,1.14556,1.14589,4567.89
2024-01-12 10:00:00,1.14589,1.14623,1.14523,1.14556,5234.56
2024-01-12 11:00:00,1.14556,1.14589,1.14489,1.14523,5678.92
2024-01-12 12:00:00,1.14523,1.14556,1.14456,1.14489,6123.45
2024-01-12 13:00:00,1.14489,1.14523,1.14423,1.14456,6543.21
2024-01-12 14:00:00,1.14456,1.14489,1.14389,1.14423,6987.65
2024-01-12 15:00:00,1.14423,1.14467,1.14356,1.14401,7234.56
2024-01-12 16:00:00,1.14401,1.14445,1.14334,1.14378,6876.54
2024-01-12 17:00:00,1.14378,1.14423,1.14312,1.14356,6432.18
2024-01-12 18:00:00,1.14356,1.14401,1.14289,1.14334,5678.92
2024-01-12 19:00:00,1.14334,1.14378,1.14267,1.14312,5123.45
2024-01-12 20:00:00,1.14312,1.14356,1.14245,1.14289,4567.89
2024-01-12 21:00:00,1.14289,1.14334,1.14223,1.14267,4123.45
2024-01-12 22:00:00,1.14267,1.14312,1.14201,1.14245,3678.92
2024-01-12 23:00:00,1.14245,1.14289,1.14178,1.14223,3234.56
